"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.0018,0.0096"
"2.00,-0.0019,-0.0023"
"3.00,-0.0020,-0.0111"
"4.00,-0.0019,0.0063"
"5.00,-0.0019,0.0020"
"6.00,0.0044,0.3128"
"7.00,0.0152,0.8372"
"8.00,0.0276,1.4171"
"9.00,0.0413,2.0334"
"10.00,0.0551,2.6190"
"11.00,0.0672,3.0935"
"12.00,0.0813,3.6424"
"13.00,0.0917,3.9839"
"14.00,0.1055,4.4719"
"15.00,0.1163,4.7883"
"16.00,0.1287,5.1707"
"17.00,0.1395,5.4521"
"18.00,0.1516,5.7849"
"19.00,0.1637,6.1011"
"20.00,0.1749,6.3524"
"21.00,0.1853,6.5584"
"22.00,0.1961,6.7704"
"23.00,0.2069,6.9719"
"24.00,0.2194,7.2450"
"25.00,0.2298,7.4064"
"26.00,0.2406,7.5761"
"27.00,0.2498,7.6554"
"28.00,0.2606,7.8126"
"29.00,0.2698,7.8801"
"30.00,0.2806,8.0261"
"31.00,0.2914,8.1647"
"32.00,0.3018,8.2801"
"33.00,0.3113,8.3406"
"34.00,0.3221,8.4636"
"35.00,0.3326,8.5640"
"36.00,0.3450,8.7576"
"37.00,0.3542,8.7779"
"38.00,0.3666,8.9607"
"39.00,0.3771,9.0363"
"40.00,0.3879,9.1245"
"41.00,0.4003,9.2900"
"42.00,0.4111,9.3655"
"43.00,0.4232,9.5026"
"44.00,0.4340,9.5675"
"45.00,0.4465,9.7109"
"46.00,0.4570,9.7490"
"47.00,0.4694,9.8833"
"48.00,0.4799,9.9127"
"49.00,0.4923,10.0389"
"50.00,0.5031,10.0769"
"51.00,0.5139,10.1130"
"52.00,0.5276,10.2946"
"53.00,0.5381,10.3035"
"54.00,0.5522,10.4919"
"55.00,0.5630,10.5073"
"56.00,0.5767,10.6691"
"57.00,0.5875,10.6757"
"58.00,0.5996,10.7473"
"59.00,0.6104,10.7499"
"60.00,0.6225,10.8178"
"61.00,0.6350,10.8987"
"62.00,0.6474,10.9756"
