"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.0059,0.0092"
"2.00,-0.0059,0.0087"
"3.00,-0.0059,0.0083"
"4.00,-0.0059,0.0079"
"5.00,-0.0059,0.0075"
"6.00,0.0033,0.4653"
"7.00,0.0120,0.8796"
"8.00,0.0262,1.5434"
"9.00,0.0370,2.0062"
"10.00,0.0507,2.5931"
"11.00,0.0645,3.1507"
"12.00,0.0753,3.5331"
"13.00,0.0890,4.0437"
"14.00,0.0998,4.3815"
"15.00,0.1136,4.8497"
"16.00,0.1244,5.1471"
"17.00,0.1365,5.4952"
"18.00,0.1473,5.7604"
"19.00,0.1581,6.0124"
"20.00,0.1718,6.3990"
"21.00,0.1826,6.6190"
"22.00,0.1947,6.8935"
"23.00,0.2039,7.0069"
"24.00,0.2150,7.2129"
"25.00,0.2255,7.3759"
"26.00,0.2380,7.6327"
"27.00,0.2471,7.7054"
"28.00,0.2582,7.8765"
"29.00,0.2687,8.0062"
"30.00,0.2791,8.1257"
"31.00,0.2883,8.1814"
"32.00,0.2994,8.3287"
"33.00,0.3099,8.4358"
"34.00,0.3223,8.6358"
"35.00,0.3328,8.7276"
"36.00,0.3420,8.7494"
"37.00,0.3544,8.9337"
"38.00,0.3652,9.0270"
"39.00,0.3773,9.1811"
"40.00,0.3881,9.2620"
"41.00,0.3989,9.3389"
"42.00,0.4114,9.4973"
"43.00,0.4222,9.5588"
"44.00,0.4343,9.6863"
"45.00,0.4454,9.7583"
"46.00,0.4575,9.8758"
"47.00,0.4683,9.9220"
"48.00,0.4804,10.0313"
"49.00,0.4928,10.1515"
"50.00,0.5050,10.2494"
"51.00,0.5158,10.2769"
"52.00,0.5279,10.3684"
"53.00,0.5403,10.4718"
"54.00,0.5523,10.5502"
"55.00,0.5645,10.6315"
"56.00,0.5769,10.7217"
"57.00,0.5894,10.8074"
"58.00,0.5999,10.7907"
"59.00,0.6123,10.8729"
"60.00,0.6228,10.8529"
"61.00,0.6339,10.8666"
"62.00,0.6460,10.9287"
"63.00,0.6581,10.9877"
"64.00,0.6705,11.0600"
"65.00,0.6830,11.1288"
"66.00,0.6951,11.1778"
"67.00,0.7059,11.1589"
"68.00,0.7196,11.2882"
"69.00,0.7304,11.2637"
"70.00,0.7412,11.2405"
"71.00,0.7550,11.3657"
"72.00,0.7654,11.3210"
"73.00,0.7783,11.3962"
"74.00,0.7886,11.3438"
"75.00,0.8008,11.3852"
"76.00,0.8116,11.3559"
"77.00,0.8257,11.4917"
"78.00,0.8378,11.5225"
"79.00,0.8499,11.5518"
"80.00,0.8623,11.5960"
"81.00,0.8731,11.5562"
"82.00,0.8852,11.5838"
"83.00,0.8977,11.6264"
"84.00,0.9101,11.6668"
"85.00,0.9206,11.6071"
"86.00,0.9330,11.6485"
"87.00,0.9451,11.6715"
"88.00,0.9575,11.7097"
"89.00,0.9683,11.6642"
"90.00,0.9805,11.6864"
"91.00,0.9913,11.6421"
"92.00,1.0037,11.6817"
"93.00,1.0142,11.6213"
"94.00,1.0253,11.5993"
"95.00,1.0370,11.6029"
"96.00,1.0482,11.5845"
"97.00,1.0602,11.6053"
"98.00,1.0695,11.4859"
"99.00,1.0816,11.5170"
"100.00,1.0924,11.4811"
"101.00,1.1019,11.3816"
"102.00,1.1123,11.3361"
"103.00,1.1235,11.3283"
"104.00,1.1339,11.2802"
"105.00,1.1447,11.2588"
"106.00,1.1555,11.2358"
"107.00,1.1660,11.1976"
"108.00,1.1752,11.0959"
"109.00,1.1860,11.0811"
"110.00,1.1968,11.0670"
"111.00,1.2076,11.0536"
"112.00,1.2167,10.9591"
"113.00,1.2288,11.0166"
"114.00,1.2383,10.9402"
"115.00,1.2491,10.9332"
"116.00,1.2580,10.8283"
"117.00,1.2691,10.8457"
"118.00,1.2795,10.8222"
"119.00,1.2904,10.8234"
"120.00,1.2995,10.7404"
"121.00,1.3103,10.7434"
"122.00,1.3208,10.7298"
"123.00,1.3332,10.8151"
"124.00,1.3444,10.8330"
"125.00,1.3531,10.7285"
"126.00,1.3653,10.7998"
"127.00,1.3764,10.8161"
"128.00,1.3872,10.8153"
"129.00,1.3977,10.7982"
"130.00,1.4085,10.7982"
"131.00,1.4177,10.7165"
"132.00,1.4301,10.8024"
"133.00,1.4406,10.7859"
"134.00,1.4530,10.8684"
