"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.0026,0.0084"
"2.00,-0.0027,0.0103"
"3.00,-0.0028,-0.0058"
"4.00,-0.0028,-0.0008"
"5.00,-0.0028,-0.0008"
"6.00,0.0063,0.4574"
"7.00,0.0170,0.9636"
"8.00,0.0309,1.6159"
"9.00,0.0418,2.0859"
"10.00,0.0567,2.7165"
"11.00,0.0689,3.1962"
"12.00,0.0830,3.7400"
"13.00,0.0951,4.1584"
"14.00,0.1089,4.6377"
"15.00,0.1242,5.1748"
"16.00,0.1383,5.6197"
"17.00,0.1521,6.0260"
"18.00,0.1659,6.4119"
"19.00,0.1798,6.7916"
"20.00,0.1920,7.0684"
"21.00,0.2040,7.3029"
"22.00,0.2162,7.5530"
"23.00,0.2286,7.7971"
"24.00,0.2411,8.0291"
"25.00,0.2534,8.2461"
"26.00,0.2656,8.4501"
"27.00,0.2777,8.6212"
"28.00,0.2902,8.8161"
"29.00,0.3025,8.9938"
"30.00,0.3147,9.1604"
"31.00,0.3255,9.2306"
"32.00,0.3377,9.3787"
"33.00,0.3483,9.4464"
"34.00,0.3576,9.4431"
"35.00,0.3715,9.6574"
"36.00,0.3805,9.6259"
"37.00,0.3929,9.7664"
"38.00,0.4021,9.7363"
"39.00,0.4146,9.8712"
"40.00,0.4253,9.9142"
"41.00,0.4345,9.8875"
"42.00,0.4465,9.9816"
"43.00,0.4558,9.9502"
"44.00,0.4666,9.9926"
"45.00,0.4787,10.0984"
"46.00,0.4895,10.1335"
"47.00,0.5003,10.1668"
"48.00,0.5127,10.2802"
"49.00,0.5234,10.3027"
"50.00,0.5356,10.4039"
"51.00,0.5463,10.4069"
"52.00,0.5572,10.4359"
"53.00,0.5693,10.5195"
"54.00,0.5798,10.5171"
"55.00,0.5925,10.6259"
"56.00,0.6034,10.6454"
"57.00,0.6151,10.6911"
"58.00,0.6259,10.7003"
"59.00,0.6380,10.7707"
"60.00,0.6492,10.7885"
"61.00,0.6613,10.8545"
"62.00,0.6734,10.9172"
"63.00,0.6842,10.9113"
"64.00,0.6983,11.0693"
"65.00,0.7104,11.1213"
"66.00,0.7225,11.1706"
"67.00,0.7336,11.1684"
"68.00,0.7473,11.2936"
"69.00,0.7583,11.2798"
"70.00,0.7706,11.3321"
"71.00,0.7829,11.3855"
"72.00,0.7934,11.3308"
"73.00,0.8057,11.3859"
"74.00,0.8180,11.4329"
"75.00,0.8304,11.4813"
"76.00,0.8425,11.5037"
"77.00,0.8548,11.5501"
"78.00,0.8655,11.5071"
"79.00,0.8795,11.6336"
"80.00,0.8899,11.5667"
"81.00,0.9023,11.6098"
"82.00,0.9162,11.7274"
"83.00,0.9269,11.6793"
"84.00,0.9377,11.6265"
"85.00,0.9501,11.6666"
"86.00,0.9637,11.7650"
"87.00,0.9748,11.7314"
"88.00,0.9869,11.7503"
"89.00,0.9977,11.7027"
"90.00,1.0098,11.7230"
"91.00,1.0239,11.8404"
"92.00,1.0343,11.7720"
"93.00,1.0468,11.8052"
"94.00,1.0589,11.8204"
"95.00,1.0713,11.8511"
"96.00,1.0834,11.8640"
"97.00,1.0959,11.8926"
"98.00,1.1063,11.8216"
"99.00,1.1188,11.8523"
"100.00,1.1296,11.7996"
"101.00,1.1400,11.7332"
"102.00,1.1525,11.7684"
"103.00,1.1649,11.8017"
"104.00,1.1770,11.8171"
"105.00,1.1878,11.7662"
"106.00,1.1999,11.7833"
"107.00,1.2107,11.7341"
"108.00,1.2231,11.7692"
"109.00,1.2336,11.6959"
"110.00,1.2442,11.6500"
"111.00,1.2552,11.6184"
"112.00,1.2660,11.5760"
"113.00,1.2768,11.5372"
"114.00,1.2873,11.4839"
"115.00,1.2984,11.4660"
"116.00,1.3072,11.3263"
"117.00,1.3195,11.3805"
"118.00,1.3305,11.3624"
"119.00,1.3409,11.3165"
"120.00,1.3504,11.2169"
"121.00,1.3611,11.1947"
"122.00,1.3717,11.1695"
"123.00,1.3825,11.1496"
"124.00,1.3920,11.0667"
"125.00,1.4012,10.9715"
"126.00,1.4133,11.0283"
"127.00,1.4225,10.9351"
"128.00,1.4333,10.9283"
"129.00,1.4424,10.8400"
"130.00,1.4515,10.7481"
"131.00,1.4624,10.7600"
"132.00,1.4717,10.6857"
"133.00,1.4841,10.7718"
"134.00,1.4933,10.6914"
"135.00,1.5040,10.6914"
"136.00,1.5132,10.6217"
"137.00,1.5237,10.6104"
"138.00,1.5341,10.6018"
"139.00,1.5559,10.6377"
"140.00,1.5663,10.6294"
"141.00,1.5775,10.6216"
"142.00,1.5885,10.6468"
"143.00,1.5960,10.6666"
"144.00,1.6081,10.5071"
"145.00,1.6173,10.5884"
"146.00,1.6297,10.5160"
"147.00,1.6373,10.6131"
"148.00,1.6497,10.4600"
"149.00,1.6601,10.5588"
"150.00,1.6713,10.5509"
"151.00,1.6818,10.5832"
"152.00,1.6926,10.5765"
"153.00,1.7030,10.5888"
"154.00,1.7142,10.5795"
"155.00,1.7246,10.6114"
"156.00,1.7354,10.5999"
"157.00,1.7446,10.6133"
"158.00,1.7570,10.5397"
"159.00,1.7678,10.6356"
"160.00,1.7769,10.6427"
"161.00,1.7878,10.5665"
"162.00,1.7982,10.5825"
"163.00,1.8078,10.5726"
"164.00,1.8185,10.5228"
"165.00,1.8306,10.5345"
"166.00,1.8415,10.6111"
"167.00,1.8519,10.6247"
"168.00,1.8631,10.6129"
"169.00,1.8735,10.6428"
"170.00,1.8860,10.6301"
"171.00,1.8964,10.7245"
"172.00,1.9076,10.7078"
"173.00,1.9184,10.7328"
"174.00,1.9305,10.7341"
"175.00,1.9413,10.8028"
"176.00,1.9521,10.8026"
"177.00,1.9609,10.8024"
"178.00,1.9734,10.7022"
"179.00,1.9838,10.7927"
"180.00,1.9950,10.7729"
"181.00,2.0057,10.7943"
"182.00,2.0165,10.7927"
"183.00,2.0270,10.7930"
"184.00,2.0378,10.7770"
"185.00,2.0486,10.7781"
"186.00,2.0594,10.7774"
"187.00,2.0715,10.7821"
"188.00,2.0824,10.8448"
"189.00,2.0931,10.8461"
"190.00,2.1039,10.8402"
"191.00,2.1147,10.8417"
"192.00,2.1252,10.8378"
"193.00,2.1360,10.8195"
"194.00,2.1468,10.8185"
"195.00,2.1576,10.8159"
"196.00,2.1664,10.8184"
"197.00,2.1772,10.7160"
"198.00,2.1883,10.7226"
"199.00,2.1988,10.7420"
"200.00,2.2096,10.7285"
"201.00,2.2187,10.7328"
