"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.1211,0.0021"
"2.00,-0.1211,0.0000"
"3.00,-0.1211,0.0020"
"4.00,-0.1211,0.0019"
"5.00,-0.1198,0.0673"
"6.00,-0.1119,0.4566"
"7.00,-0.1011,0.9748"
"8.00,-0.0887,1.5468"
"9.00,-0.0766,2.0749"
"10.00,-0.0641,2.5929"
"11.00,-0.0520,3.0687"
"12.00,-0.0412,3.4552"
"13.00,-0.0291,3.8879"
"14.00,-0.0167,4.3153"
"15.00,-0.0059,4.6395"
"16.00,0.0033,4.8657"
"17.00,0.0154,5.2269"
"18.00,0.0265,5.5246"
"19.00,0.0369,5.7684"
"20.00,0.0478,6.0235"
"21.00,0.0582,6.2424"
"22.00,0.0694,6.4901"
"23.00,0.0798,6.6857"
"24.00,0.0906,6.8931"
"25.00,0.1014,7.0885"
"26.00,0.1119,7.2576"
"27.00,0.1244,7.5165"
"28.00,0.1368,7.7625"
"29.00,0.1476,7.9160"
"30.00,0.1580,8.0405"
"31.00,0.1709,8.2799"
"32.00,0.1826,8.4517"
"33.00,0.1967,8.7359"
"34.00,0.2071,8.8196"
"35.00,0.2213,9.0853"
"36.00,0.2333,9.2334"
"37.00,0.2474,9.4783"
"38.00,0.2595,9.6069"
"39.00,0.2720,9.7512"
"40.00,0.2840,9.8662"
"41.00,0.2978,10.0630"
"42.00,0.3115,10.2442"
"43.00,0.3223,10.2734"
"44.00,0.3361,10.4470"
"45.00,0.3482,10.5300"
"46.00,0.3623,10.7071"
"47.00,0.3760,10.8590"
"48.00,0.3881,10.9215"
"49.00,0.4022,11.0790"
"50.00,0.4143,11.1305"
"51.00,0.4297,11.3430"
"52.00,0.4405,11.3170"
"53.00,0.4542,11.4360"
"54.00,0.4667,11.4884"
"55.00,0.4804,11.5988"
"56.00,0.4929,11.6430"
"57.00,0.5049,11.6640"
"58.00,0.5174,11.7048"
"59.00,0.5295,11.7228"
"60.00,0.5436,11.8424"
"61.00,0.5435,11.2481"
"62.00,0.5543,11.2224"
"63.00,0.5680,11.3485"
"64.00,0.5818,11.4683"
"65.00,0.5939,11.5003"
