"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.0060,0.0089"
"2.00,-0.0062,-0.0093"
"3.00,-0.0060,-0.0040"
"4.00,-0.0062,-0.0107"
"5.00,-0.0060,-0.0033"
"6.00,-0.0062,-0.0100"
"7.00,-0.0028,-0.0026"
"8.00,0.0059,0.1543"
"9.00,0.0169,0.5952"
"10.00,0.0294,1.1054"
"11.00,0.0412,1.6672"
"12.00,0.0538,2.1940"
"13.00,0.0642,2.6993"
"14.00,0.0784,3.0947"
"15.00,0.0891,3.6368"
"16.00,0.1013,4.0017"
"17.00,0.1120,4.4003"
"18.00,0.1245,4.7269"
"19.00,0.1349,5.1057"
"20.00,0.1474,5.3807"
"21.00,0.1565,5.7268"
"22.00,0.1674,5.9052"
"23.00,0.1799,6.1499"
"24.00,0.1885,6.4598"
"25.00,0.1982,6.5830"
"26.00,0.2085,6.7218"
"27.00,0.2181,6.9159"
"28.00,0.2272,7.0380"
"29.00,0.2383,7.1541"
"30.00,0.2467,7.3288"
"31.00,0.2566,7.4117"
"32.00,0.2673,7.5146"
"33.00,0.2762,7.6723"
"34.00,0.2841,7.7544"
"35.00,0.2947,7.7420"
"36.00,0.3037,7.8884"
"37.00,0.3130,7.9563"
"38.00,0.3239,8.0167"
"39.00,0.3312,8.1516"
"40.00,0.3405,8.1246"
"41.00,0.3496,8.1701"
"42.00,0.3575,8.2261"
"43.00,0.3684,8.2075"
"44.00,0.3778,8.3425"
"45.00,0.3865,8.3850"
"46.00,0.3962,8.4202"
"47.00,0.4053,8.4642"
"48.00,0.4129,8.5078"
"49.00,0.4236,8.4618"
"50.00,0.4310,8.5639"
"51.00,0.4421,8.5214"
"52.00,0.4531,8.6408"
"53.00,0.4617,8.7503"
"54.00,0.4728,8.7670"
"55.00,0.4830,8.8562"
"56.00,0.4928,8.9463"
"57.00,0.5035,8.9789"
"58.00,0.5125,9.0553"
"59.00,0.5235,9.0729"
"60.00,0.5337,9.1470"
"61.00,0.5451,9.2255"
"62.00,0.5555,9.3114"
"63.00,0.5664,9.3779"
"64.00,0.5771,9.4520"
"65.00,0.5877,9.5049"
"66.00,0.6004,9.5817"
"67.00,0.6106,9.7123"
"68.00,0.6200,9.7623"
"69.00,0.6303,9.7204"
"70.00,0.6430,9.7669"
"71.00,0.6524,9.9058"
"72.00,0.6643,9.8707"
"73.00,0.6770,9.9944"
"74.00,0.6872,10.1046"
"75.00,0.6986,10.1348"
"76.00,0.7101,10.1726"
"77.00,0.7228,10.2648"
"78.00,0.7334,10.3616"
"79.00,0.7444,10.3952"
"80.00,0.7546,10.4038"
"81.00,0.7657,10.4159"
"82.00,0.7784,10.4405"
"83.00,0.7887,10.5425"
"84.00,0.8013,10.5505"
"85.00,0.8116,10.6333"
"86.00,0.8242,10.6367"
"87.00,0.8345,10.7152"
"88.00,0.8472,10.7145"
"89.00,0.8590,10.7892"
"90.00,0.8704,10.8664"
"91.00,0.8823,10.8681"
"92.00,0.8933,10.9415"
"93.00,0.9052,10.9231"
"94.00,0.9178,10.9935"
"95.00,0.9281,11.0545"
"96.00,0.9392,11.0337"
"97.00,0.9499,11.0275"
"98.00,0.9605,11.0023"
"99.00,0.9731,11.0032"
"100.00,0.9834,11.0638"
"101.00,0.9944,11.0452"
"102.00,1.0066,11.0219"
"103.00,1.0176,11.1036"
"104.00,1.0279,11.0775"
"105.00,1.0389,11.0581"
"106.00,1.0524,11.0343"
"107.00,1.0635,11.1806"
"108.00,1.0754,11.1508"
"109.00,1.0851,11.2094"
"110.00,1.0955,11.1154"
"111.00,1.1066,11.0940"
"112.00,1.1174,11.0902"
"113.00,1.1275,11.0677"
"114.00,1.1387,11.0350"
"115.00,1.1495,11.0341"
"116.00,1.1599,11.0145"
"117.00,1.1694,11.0007"
"118.00,1.1802,10.9197"
"119.00,1.1906,10.9085"
"120.00,1.2002,10.8919"
"121.00,1.2122,10.8166"
"122.00,1.2215,10.8864"
"123.00,1.2319,10.7925"
"124.00,1.2431,10.7896"
"125.00,1.2539,10.8010"
"126.00,1.2629,10.7958"
"127.00,1.2738,10.7193"
"128.00,1.2842,10.7182"
"129.00,1.2938,10.7110"
"130.00,1.3026,10.6424"
"131.00,1.3121,10.5650"
"132.00,1.3213,10.5059"
"133.00,1.3303,10.4337"
"134.00,1.3409,10.3702"
"135.00,1.3501,10.3832"
"136.00,1.3596,10.3247"
"137.00,1.3704,10.2775"
"138.00,1.3794,10.2987"
"139.00,1.3900,10.2419"
"140.00,1.3992,10.2613"
"141.00,1.4103,10.2089"
"142.00,1.4195,10.2493"
"143.00,1.4285,10.1901"
"144.00,1.4391,10.1388"
"145.00,1.4500,10.1633"
"146.00,1.4577,10.1975"
"147.00,1.4669,10.0749"
"148.00,1.4760,10.0221"
"149.00,1.4856,9.9918"
