"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.0064,0.0135"
"2.00,-0.0066,0.0002"
"3.00,-0.0065,0.0002"
"4.00,-0.0066,0.0037"
"5.00,-0.0065,-0.0000"
"6.00,0.0013,0.3962"
"7.00,0.0105,0.8310"
"8.00,0.0242,1.4802"
"9.00,0.0364,2.0081"
"10.00,0.0504,2.6148"
"11.00,0.0612,3.0206"
"12.00,0.0765,3.6420"
"13.00,0.0871,3.9801"
"14.00,0.0981,4.3408"
"15.00,0.1103,4.7259"
"16.00,0.1211,5.0329"
"17.00,0.1332,5.3833"
"18.00,0.1440,5.6574"
"19.00,0.1561,5.9767"
"20.00,0.1669,6.2211"
"21.00,0.1777,6.4468"
"22.00,0.1885,6.6676"
"23.00,0.2006,6.9364"
"24.00,0.2114,7.1328"
"25.00,0.2222,7.3129"
"26.00,0.2330,7.4904"
"27.00,0.2422,7.5709"
"28.00,0.2529,7.7355"
"29.00,0.2635,7.8692"
"30.00,0.2742,8.0188"
"31.00,0.2838,8.0893"
"32.00,0.2958,8.2933"
"33.00,0.3067,8.4155"
"34.00,0.3158,8.4560"
"35.00,0.3266,8.5701"
"36.00,0.3374,8.6846"
"37.00,0.3479,8.7710"
"38.00,0.3603,8.9572"
"39.00,0.3724,9.1118"
"40.00,0.3835,9.2155"
"41.00,0.3940,9.2754"
"42.00,0.4064,9.4363"
"43.00,0.4170,9.4852"
"44.00,0.4280,9.5702"
"45.00,0.4415,9.7596"
"46.00,0.4522,9.8145"
"47.00,0.4644,9.9263"
"48.00,0.4771,10.0710"
"49.00,0.4876,10.0882"
"50.00,0.5013,10.2739"
"51.00,0.5138,10.3792"
"52.00,0.5262,10.4848"
"53.00,0.5384,10.5632"
"54.00,0.5520,10.7250"
"55.00,0.5645,10.8078"
"56.00,0.5753,10.8101"
"57.00,0.5888,10.9378"
"58.00,0.5995,10.9335"
"59.00,0.6136,11.0878"
"60.00,0.6244,11.0760"
"61.00,0.6378,11.1905"
"62.00,0.6502,11.2553"
"63.00,0.6640,11.3772"
"64.00,0.6764,11.4327"
"65.00,0.6886,11.4639"
"66.00,0.7010,11.5150"
"67.00,0.7131,11.5422"
"68.00,0.7271,11.6712"
"69.00,0.7393,11.6906"
"70.00,0.7517,11.7303"
"71.00,0.7638,11.7467"
"72.00,0.7762,11.7836"
"73.00,0.7867,11.7156"
"74.00,0.7978,11.6886"
"75.00,0.8113,11.7726"
"76.00,0.8220,11.7263"
"77.00,0.8342,11.7431"
"78.00,0.8469,11.7964"
"79.00,0.8591,11.8097"
"80.00,0.8711,11.8269"
"81.00,0.8833,11.8387"
"82.00,0.8960,11.8872"
"83.00,0.9065,11.8142"
"84.00,0.9189,11.8475"
"85.00,0.9294,11.7765"
"86.00,0.9418,11.8117"
"87.00,0.9527,11.7589"
"88.00,0.9647,11.7785"
"89.00,0.9756,11.7274"
"90.00,0.9880,11.7650"
"91.00,0.9985,11.6982"
"92.00,1.0109,11.7372"
"93.00,1.0214,11.6718"
"94.00,1.0341,11.7284"
"95.00,1.0459,11.7290"
"96.00,1.0570,11.7009"
"97.00,1.0688,11.7029"
"98.00,1.0799,11.6761"
"99.00,1.0921,11.6957"
"100.00,1.1028,11.6529"
"101.00,1.1150,11.6737"
"102.00,1.1261,11.6483"
"103.00,1.1382,11.6694"
"104.00,1.1473,11.5460"
"105.00,1.1595,11.5722"
"106.00,1.1706,11.5518"
"107.00,1.1827,11.5778"
"108.00,1.1935,11.5407"
"109.00,1.2056,11.5672"
"110.00,1.2180,11.6125"
"111.00,1.2272,11.4882"
"112.00,1.2409,11.6028"
"113.00,1.2531,11.6263"
"114.00,1.2642,11.6031"
"115.00,1.2763,11.6266"
"116.00,1.2871,11.5870"
"117.00,1.2992,11.6114"
"118.00,1.3083,11.4906"
"119.00,1.3221,11.6016"
"120.00,1.3329,11.5632"
"121.00,1.3450,11.5888"
"122.00,1.3561,11.5673"
"123.00,1.3683,11.5928"
"124.00,1.3790,11.5547"
"125.00,1.3895,11.4990"
"126.00,1.4019,11.5474"
"127.00,1.4128,11.5084"
"128.00,1.4252,11.5563"
"129.00,1.4357,11.5006"
"130.00,1.4481,11.5489"
"131.00,1.4602,11.5754"
"132.00,1.4710,11.5380"
"133.00,1.4818,11.4996"
"134.00,1.4926,11.4661"
"135.00,1.5034,11.4313"
"136.00,1.5142,11.4011"
"137.00,1.5263,11.4351"
"138.00,1.5371,11.4047"
"139.00,1.5479,11.3731"
"140.00,1.5600,11.4112"
"141.00,1.5721,11.4447"
"142.00,1.5829,11.4137"
"143.00,1.5937,11.3817"
"144.00,1.6061,11.4357"
"145.00,1.6166,11.3863"
"146.00,1.6307,11.5218"
"147.00,1.6415,11.4844"
"148.00,1.6536,11.5169"
"149.00,1.6644,11.4798"
"150.00,1.6765,11.5124"
"151.00,1.6873,11.4756"
"152.00,1.6998,11.5247"
"153.00,1.7107,11.4945"
"154.00,1.7228,11.5235"
"155.00,1.7352,11.5702"
"156.00,1.7448,10.9906"
"157.00,1.7569,10.9221"
"158.00,1.7691,10.9825"
"159.00,1.7811,11.0389"
"160.00,1.7936,11.0912"
"161.00,1.8057,11.1590"
"162.00,1.8181,11.2070"
"163.00,1.8303,11.2672"
"164.00,1.8414,11.3106"
"165.00,1.8535,11.3001"
"166.00,1.8656,11.3418"
"167.00,1.8764,11.3789"
"168.00,1.8904,11.3511"
"169.00,1.9026,11.4859"
"170.00,1.9134,11.5183"
"171.00,1.9255,11.4810"
"172.00,1.9379,11.5138"
"173.00,1.9484,11.5585"
"174.00,1.9592,11.5056"
"175.00,1.9729,11.4688"
"176.00,1.9840,11.5840"
"177.00,1.9945,11.5597"
"178.00,2.0053,11.5068"
"179.00,2.0174,11.4699"
"180.00,2.0285,11.5034"
"181.00,2.0407,11.4830"
"182.00,2.0515,11.5158"
"183.00,2.0620,11.4785"
"184.00,2.0744,11.4297"
"185.00,2.0852,11.4785"
"186.00,2.0957,11.4453"
"187.00,2.1064,11.3974"
"188.00,2.1189,11.3659"
"189.00,2.1297,11.4210"
"190.00,2.1418,11.3883"
"191.00,2.1526,11.4259"
"192.00,2.1634,11.3929"
"193.00,2.1742,11.3650"
"194.00,2.1850,11.3350"
"195.00,2.1955,11.3091"
"196.00,2.2079,11.2681"
"197.00,2.2187,11.3247"
"198.00,2.2295,11.3002"
"199.00,2.2400,11.2734"
"200.00,2.2507,11.2351"
"201.00,2.2632,11.2115"
"202.00,2.2740,11.2745"
"203.00,2.2874,11.2490"
"204.00,2.2969,11.3592"
"205.00,2.3090,11.2639"
"206.00,2.3214,11.3080"
"207.00,2.3306,11.3625"
"208.00,2.3427,11.2535"
"209.00,2.3538,11.2972"
"210.00,2.3660,11.2867"
"211.00,2.3751,11.3298"
"212.00,2.3872,11.2195"
"213.00,2.3983,11.2659"
"214.00,2.4105,11.2569"
"215.00,2.4226,11.3015"
"216.00,2.4334,11.3398"
"217.00,2.4458,11.3138"
"218.00,2.4549,11.3710"
"219.00,2.4671,11.2585"
"220.00,2.4779,11.3031"
"221.00,2.4903,11.2758"
