"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,2.1006,-0.0072"
"2.00,2.1006,-0.0039"
"3.00,2.1007,-0.0008"
"4.00,2.1006,-0.0066"
"5.00,2.1006,-0.0033"
"6.00,2.1052,0.2259"
"7.00,2.1177,0.8393"
"8.00,2.1313,1.4788"
"9.00,2.1423,1.9506"
"10.00,2.1559,2.5345"
"11.00,2.1701,3.1171"
"12.00,2.1850,3.7082"
"13.00,2.1989,4.2158"
"14.00,2.2112,4.6211"
"15.00,2.2251,5.0829"
"16.00,2.2357,5.3631"
"17.00,2.2512,5.8696"
"18.00,2.2619,6.1105"
"19.00,2.2758,6.4978"
"20.00,2.2878,6.7727"
"21.00,2.2999,7.0423"
"22.00,2.3141,7.3966"
"23.00,2.3248,7.5611"
"24.00,2.3370,7.7941"
"25.00,2.3477,7.9388"
"26.00,2.3586,8.0873"
"27.00,2.3693,8.2175"
"28.00,2.3815,8.4175"
"29.00,2.3905,8.4493"
"30.00,2.4030,8.6513"
"31.00,2.4139,8.7614"
"32.00,2.4242,8.8416"
"33.00,2.4351,8.9449"
"34.00,2.4458,9.0322"
"35.00,2.4567,9.1232"
"36.00,2.4675,9.2097"
"37.00,2.4779,9.2675"
"38.00,2.4875,9.2840"
"39.00,2.4982,9.3544"
"40.00,2.5091,9.4320"
"41.00,2.5195,9.4787"
"42.00,2.5304,9.5500"
"43.00,2.5394,9.5254"
"44.00,2.5487,9.5099"
"45.00,2.5595,9.5770"
"46.00,2.5686,9.5511"
"47.00,2.5795,9.6187"
"48.00,2.5902,9.6725"
"49.00,2.6010,9.7315"
"50.00,2.6119,9.7875"
"51.00,2.6222,9.8166"
"52.00,2.6348,9.9526"
"53.00,2.6455,9.9898"
"54.00,2.6564,10.0354"
"55.00,2.6667,10.0522"
"56.00,2.6780,10.1110"
"57.00,2.6883,10.1240"
"58.00,2.7005,10.2257"
"59.00,2.7113,10.2569"
"60.00,2.7220,10.2790"
"61.00,2.7362,10.4737"
"62.00,2.7482,10.5504"
"63.00,2.7591,10.5678"
"64.00,2.7698,10.5745"
"65.00,2.7820,10.6561"
"66.00,2.7940,10.7238"
"67.00,2.8066,10.8143"
"68.00,2.8173,10.8087"
"69.00,2.8298,10.8949"
"70.00,2.8402,10.8689"
"71.00,2.8527,10.9521"
"72.00,2.8647,11.0051"
"73.00,2.8756,10.9972"
"74.00,2.8881,11.0715"
"75.00,2.9001,11.1186"
"76.00,2.9126,11.1891"
"77.00,2.9246,11.2304"
"78.00,2.9371,11.2954"
"79.00,2.9492,11.3313"
"80.00,2.9601,11.3094"
"81.00,2.9737,11.4265"
"82.00,2.9862,11.4816"
"83.00,2.9983,11.5083"
"84.00,3.0091,11.4775"
"85.00,3.0212,11.5044"
"86.00,3.0321,11.4738"
"87.00,3.0441,11.5009"
"88.00,3.0569,11.5686"
"89.00,3.0673,11.5092"
"90.00,3.0798,11.5601"
"91.00,3.0932,11.6484"
"92.00,3.1060,11.7086"
"93.00,3.1164,11.6424"
"94.00,3.1302,11.7519"
"95.00,3.1409,11.6999"
"96.00,-3.1297,11.7411"
"97.00,-3.1177,11.7550"
"98.00,-3.1068,11.7138"
"99.00,-3.0965,11.6430"
"100.00,-3.0852,11.6259"
"101.00,-3.0732,11.6435"
"102.00,-3.0624,11.6035"
"103.00,-3.0502,11.6287"
"104.00,-3.0391,11.6036"
"105.00,-3.0270,11.6289"
"106.00,-3.0149,11.6528"
