"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,0.0156,0.0105"
"2.00,0.0156,0.0090"
"3.00,0.0157,0.0129"
"4.00,0.0157,0.0122"
"5.00,0.0187,0.1589"
"6.00,0.0311,0.7727"
"7.00,0.0475,1.5566"
"8.00,0.0693,2.5685"
"9.00,0.0936,3.6553"
"10.00,0.1168,4.6299"
"11.00,0.1427,5.6955"
"12.00,0.1675,6.6498"
"13.00,0.1948,7.6799"
"14.00,0.2179,8.4531"
"15.00,0.2409,9.1804"
"16.00,0.2670,10.0258"
"17.00,0.2899,10.6691"
"18.00,0.3132,11.3005"
"19.00,0.3376,11.9549"
"20.00,0.3836,12.4309"
"21.00,0.4053,13.0427"
"22.00,0.4265,13.4644"
"23.00,0.4486,13.8638"
"24.00,0.4679,14.2579"
"25.00,0.4893,14.5183"
"26.00,0.5094,14.8759"
"27.00,0.5277,15.1188"
"28.00,0.5493,15.2876"
"29.00,0.5693,15.6061"
"30.00,0.5894,15.8184"
"31.00,0.6075,16.0278"
"32.00,0.6262,16.1460"
"33.00,0.6461,16.2659"
"34.00,0.6641,16.4366"
"35.00,0.6829,16.5314"
"36.00,0.7011,16.6404"
"37.00,0.7200,16.7192"
"38.00,0.7377,16.8183"
"39.00,0.7562,16.8775"
"40.00,0.7751,16.9528"
"41.00,0.7933,17.0487"
"42.00,0.8117,17.0988"
"43.00,0.8301,17.1794"
"44.00,0.8484,17.2258"
"45.00,0.8654,17.2917"
"46.00,0.8856,17.2725"
"47.00,0.9037,17.4098"
"48.00,0.9224,17.4583"
"49.00,0.9393,17.5126"
"50.00,0.9593,17.4823"
"51.00,0.9772,17.6038"
"52.00,0.9964,17.6342"
"53.00,1.0142,17.6910"
"54.00,1.0329,17.7142"
"55.00,1.0509,17.7479"
"56.00,1.0696,17.7792"
"57.00,1.0911,17.8174"
"58.00,1.1096,18.0010"
"59.00,1.1278,18.0202"
"60.00,1.1493,18.0304"
"61.00,1.1677,18.2164"
"62.00,1.1877,18.2114"
"63.00,1.2076,18.3094"
"64.00,1.2293,18.3866"
"65.00,1.2504,18.5453"
"66.00,1.2693,18.6914"
"67.00,1.2904,18.6797"
"68.00,1.3104,18.8166"
"69.00,1.3308,18.8684"
"70.00,1.3516,18.9377"
"71.00,1.3735,19.0452"
"72.00,1.3948,19.1791"
"73.00,1.4148,19.2939"
"74.00,1.4361,19.3172"
"75.00,1.4576,19.4250"
"76.00,1.4793,19.5282"
"77.00,1.5009,19.6349"
"78.00,1.5204,19.7286"
"79.00,1.5455,19.7329"
"80.00,1.5654,19.9853"
"81.00,1.5865,19.9797"
"82.00,1.6082,20.0510"
"83.00,1.6299,20.1229"
"84.00,1.6495,20.1999"
"85.00,1.6711,20.1717"
"86.00,1.6923,20.2388"
"87.00,1.7127,20.2990"
"88.00,1.7351,20.2900"
"89.00,1.7571,20.4109"
"90.00,1.7771,20.4812"
"91.00,1.7987,20.4586"
"92.00,1.8196,20.5115"
"93.00,1.8415,20.5393"
"94.00,1.8628,20.5991"
"95.00,1.8827,20.6422"
"96.00,1.9027,20.5987"
"97.00,1.9256,20.5764"
"98.00,1.9460,20.6875"
"99.00,1.9685,20.6671"
"100.00,1.9904,20.7687"
"101.00,2.0101,20.8211"
"102.00,2.0304,20.7653"
"103.00,2.0513,20.7377"
"104.00,2.0732,20.7538"
