"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.1229,-0.0113"
"2.00,-0.1227,0.0011"
"3.00,-0.1227,-0.0009"
"4.00,-0.1227,0.0011"
"5.00,-0.1214,0.0645"
"6.00,-0.1132,0.4724"
"7.00,-0.1028,0.9703"
"8.00,-0.0919,1.4638"
"9.00,-0.0799,1.9941"
"10.00,-0.0658,2.5999"
"11.00,-0.0537,3.0734"
"12.00,-0.0412,3.5434"
"13.00,-0.0308,3.8880"
"14.00,-0.0183,4.3172"
"15.00,-0.0075,4.6395"
"16.00,0.0033,4.9493"
"17.00,0.0137,5.2236"
"18.00,0.0249,5.5215"
"19.00,0.0369,5.8472"
"20.00,0.0462,6.0166"
"21.00,0.0582,6.3176"
"22.00,0.0678,6.4798"
"23.00,0.0798,6.7577"
"24.00,0.0907,6.9633"
"25.00,0.1014,7.1525"
"26.00,0.1119,7.3185"
"27.00,0.1247,7.5932"
"28.00,0.1351,7.7338"
"29.00,0.1460,7.8904"
"30.00,0.1580,8.0980"
"31.00,0.1705,8.3182"
"32.00,0.1842,8.5863"
"33.00,0.1967,8.7819"
"34.00,0.2084,8.9288"
"35.00,0.2213,9.1236"
"36.00,0.2333,9.2697"
"37.00,0.2458,9.4311"
"38.00,0.2578,9.5619"
"39.00,0.2720,9.7904"
"40.00,0.2837,9.8870"
"41.00,0.2978,10.0991"
"42.00,0.3099,10.1968"
"43.00,0.3240,10.3933"
"44.00,0.3361,10.4763"
"45.00,0.3499,10.6425"
"46.00,0.3622,10.7294"
"47.00,0.3760,10.8828"
"48.00,0.3881,10.9415"
"49.00,0.4022,11.1006"
"50.00,0.4159,11.2303"
"51.00,0.4297,11.3585"
"52.00,0.4418,11.3935"
"53.00,0.4559,11.5299"
"54.00,0.4696,11.6382"
"55.00,0.4821,11.6804"
"56.00,0.4941,11.6995"
"57.00,0.5066,11.7386"
"58.00,0.5187,11.7548"
"59.00,0.5325,11.8566"
"60.00,0.5432,11.2621"
"61.00,0.5574,11.2455"
"62.00,0.5695,11.3770"
"63.00,0.5817,11.4190"
"64.00,0.5960,11.4736"
"65.00,0.6078,11.5840"
"66.00,0.6206,11.6297"
"67.00,0.6320,11.6506"
"68.00,0.6451,11.6765"
"69.00,0.6552,11.7114"
"70.00,0.6697,11.6688"
"71.00,0.6798,11.7697"
"72.00,0.6926,11.7240"
"73.00,0.7043,11.7404"
"74.00,0.7171,11.7780"
"75.00,0.7272,11.7917"
"76.00,0.7404,11.7449"
"77.00,0.7518,11.7767"
"78.00,0.7663,11.7960"
"79.00,0.7779,11.9009"
"80.00,0.7893,11.9099"
"81.00,0.8025,11.8620"
"82.00,0.8135,11.9492"
"83.00,0.8274,11.9012"
"84.00,0.8383,11.9839"
"85.00,0.8499,11.9316"
"86.00,0.8612,11.9429"
"87.00,0.8732,11.8771"
"88.00,0.8859,11.9035"
"89.00,0.8977,11.9215"
"90.00,0.9100,11.9402"
"91.00,0.9226,11.9579"
"92.00,0.9365,11.9725"
"93.00,0.9481,12.0682"
"94.00,0.9610,12.0724"
"95.00,0.9730,12.0821"
"96.00,0.9835,12.0843"
"97.00,0.9975,12.0230"
"98.00,1.0085,12.1136"
"99.00,1.0207,12.0396"
"100.00,1.0326,12.0648"
"101.00,1.0452,12.0607"
"102.00,1.0573,12.0795"
"103.00,1.0697,12.0809"
"104.00,1.0805,12.0986"
"105.00,1.0931,12.0427"
"106.00,1.1062,12.0443"
"107.00,1.1172,12.1220"
"108.00,1.1309,12.0558"
"109.00,1.1417,12.1403"
"110.00,1.1538,12.0732"
"111.00,1.1649,12.0750"
"112.00,1.1776,12.0365"
"113.00,1.1877,12.0386"
"114.00,1.1989,11.9781"
"115.00,1.2094,11.9157"
"116.00,1.2214,11.8456"
"117.00,1.2325,11.8765"
"118.00,1.2426,11.8049"
"119.00,1.2558,11.7560"
"120.00,1.2659,11.7886"
"121.00,1.2788,11.7405"
"122.00,1.2893,11.7719"
"123.00,1.3012,11.7090"
"124.00,1.3124,11.7465"
"125.00,1.3225,11.6816"
"126.00,1.3340,11.6387"
"127.00,1.3457,11.5955"
"128.00,1.3585,11.6387"
"129.00,1.3686,11.6611"
"130.00,1.3814,11.6190"
"131.00,1.3919,11.6425"
"132.00,1.4042,11.6090"
"133.00,1.4163,11.6340"
"134.00,1.4276,11.6663"
"135.00,1.4393,11.6221"
"136.00,1.4522,11.6636"
"137.00,1.4640,11.6991"
"138.00,1.4765,11.7141"
"139.00,1.4868,11.7417"
"140.00,1.4994,11.6867"
"141.00,1.5117,11.7326"
"142.00,1.5223,11.7430"
"143.00,1.5359,11.6873"
"144.00,1.5471,11.8071"
"145.00,1.5593,11.7537"
"146.00,1.5709,11.7739"
"147.00,1.5805,11.7827"
"148.00,1.5948,11.6765"
"149.00,1.6049,11.7795"
"150.00,1.6191,11.7308"
"151.00,1.6300,11.8286"
"152.00,1.6416,11.7797"
"153.00,1.6530,11.7964"
"154.00,1.6638,11.7588"
"155.00,1.6757,11.7025"
"156.00,1.6854,11.7311"
"157.00,1.6974,11.6149"
"158.00,1.7078,11.6355"
"159.00,1.7190,11.5815"
"160.00,1.7306,11.5505"
"161.00,1.7421,11.5825"
"162.00,1.7523,11.5434"
"163.00,1.7632,11.4980"
"164.00,1.7739,11.4549"
"165.00,1.7865,11.4302"
"166.00,1.7955,11.4724"
"167.00,1.8064,11.3650"
"168.00,1.8188,11.3327"
"169.00,1.8292,11.3838"
"170.00,1.8401,11.3463"
"171.00,1.8505,11.3109"
"172.00,1.8617,11.2770"
"173.00,1.8721,11.2615"
"174.00,1.8830,11.2300"
"175.00,1.8966,11.2005"
"176.00,1.9062,11.3356"
"177.00,1.9153,11.2394"
"178.00,1.9290,11.1316"
"179.00,1.9400,11.2702"
"180.00,1.9503,11.2387"
"181.00,1.9629,11.2083"
"182.00,1.9735,11.2618"
"183.00,1.9858,11.2465"
"184.00,1.9964,11.2818"
"185.00,2.0074,11.2655"
"186.00,2.0193,11.2344"
"187.00,2.0303,11.2859"
"188.00,2.0409,11.2538"
"189.00,2.0519,11.2388"
"190.00,2.0626,11.2130"
"191.00,2.0746,11.1884"
"192.00,2.0839,11.2421"
"193.00,2.0962,11.1305"
"194.00,2.1072,11.2034"
"195.00,2.1191,11.1756"
"196.00,2.1301,11.2299"
"197.00,2.1407,11.2007"
"198.00,2.1533,11.1882"
"199.00,2.1624,11.2468"
"200.00,2.1744,11.1388"
"201.00,2.1854,11.1949"
"202.00,2.1957,11.1676"
"203.00,2.2070,11.1403"
"204.00,2.2157,11.1321"
"205.00,2.2283,11.0248"
"206.00,2.2389,11.0878"
"207.00,2.2499,11.0809"
"208.00,2.2589,11.0631"
"209.00,2.2693,10.9644"
"210.00,2.2803,10.9472"
"211.00,2.2911,10.9324"
"212.00,2.3022,10.9423"
"213.00,2.3139,10.9258"
"214.00,2.3251,10.9942"
"215.00,2.3368,10.9752"
"216.00,2.3467,11.0411"
"217.00,2.3584,10.9580"
"218.00,2.3676,11.0083"
"219.00,2.3800,10.9160"
"220.00,2.3892,10.9884"
"221.00,2.4004,10.9135"
"222.00,2.4104,10.8987"
"223.00,2.4200,10.8864"
"224.00,2.4320,10.7913"
"225.00,2.4430,10.8752"
"226.00,2.4534,10.8714"
"227.00,2.4661,10.8586"
"228.00,2.4752,10.9322"
"229.00,2.4874,10.8528"
"230.00,2.4979,10.9120"
"231.00,2.5106,10.9061"
"232.00,2.5213,10.9774"
"233.00,2.5319,10.9775"
"234.00,2.5410,10.9522"
"235.00,2.5548,10.8628"
"236.00,2.5626,11.0069"
"237.00,2.5748,10.8457"
"238.00,2.5853,10.9178"
"239.00,2.5961,10.8955"
"240.00,2.6072,10.8977"
"241.00,2.6179,10.8878"
"242.00,2.6284,10.8923"
"243.00,2.6392,10.8713"
"244.00,2.6513,10.8677"
"245.00,2.6624,10.9297"
"246.00,2.6743,10.9361"
"247.00,2.6854,10.9941"
"248.00,2.6958,10.9796"
"249.00,2.7071,10.9699"
"250.00,2.7189,10.9641"
"251.00,2.7287,11.0349"
"252.00,2.7402,10.9441"
"253.00,2.7516,10.9995"
"254.00,2.7623,10.9991"
"255.00,2.7726,10.9824"
"256.00,2.7837,10.9703"
"257.00,2.7958,10.9484"
"258.00,2.8064,11.0294"
"259.00,2.8190,11.0082"
"260.00,2.8297,11.0729"
"261.00,2.8417,11.0526"
"262.00,2.8530,11.1187"
"263.00,2.8646,11.1058"
"264.00,2.8760,11.1528"
"265.00,2.8862,11.1383"
"266.00,2.9000,11.1116"
"267.00,2.9108,11.2432"
"268.00,2.9216,11.2210"
"269.00,2.9326,11.2065"
"270.00,2.9444,11.1731"
"271.00,2.9542,11.2329"
"272.00,2.9673,11.1327"
"273.00,2.9787,11.2599"
"274.00,2.9876,11.2404"
"275.00,3.0015,11.1429"
"276.00,3.0120,11.2730"
"277.00,3.0245,11.2394"
"278.00,3.0351,11.2864"
"279.00,3.0460,11.2685"
"280.00,3.0569,11.2514"
"281.00,3.0688,11.2161"
"282.00,3.0802,11.2733"
"283.00,3.0933,11.2534"
"284.00,3.1031,11.3742"
"285.00,3.1146,11.2674"
"286.00,3.1260,11.3056"
"287.00,3.1378,11.2842"
"288.00,-3.1343,11.3378"
"289.00,-3.1226,11.2985"
"290.00,-3.1112,11.3429"
"291.00,-3.0992,11.3258"
"292.00,-3.0886,11.3735"
"293.00,-3.0762,11.3285"
"294.00,-3.0654,11.3838"
"295.00,-3.0528,11.3607"
"296.00,-3.0426,11.4023"
"297.00,-3.0299,11.3679"
"298.00,-3.0194,11.4092"
"299.00,-3.0067,11.3908"
"300.00,-2.9951,11.4309"
"301.00,-2.9838,11.4605"
"302.00,-2.9719,11.4318"
"303.00,-2.9609,11.4776"
"304.00,-2.9490,11.4317"
"305.00,-2.9363,11.4775"
"306.00,-2.9261,11.5135"
"307.00,-2.9134,11.4733"
"308.00,-2.9015,11.5096"
"309.00,-2.8905,11.5513"
"310.00,-2.8783,11.5020"
"311.00,-2.8661,11.5545"
"312.00,-2.8548,11.5909"
"313.00,-2.8445,11.5590"
"314.00,-2.8307,11.5017"
"315.00,-2.8201,11.6194"
"316.00,-2.8090,11.5761"
"317.00,-2.7954,11.5370"
"318.00,-2.7846,11.6445"
"319.00,-2.7724,11.6105"
"320.00,-2.7619,11.6326"
"321.00,-2.7491,11.5886"
"322.00,-2.7387,11.6279"
"323.00,-2.7246,11.5783"
"324.00,-2.7141,11.7002"
"325.00,-2.7030,11.6527"
"326.00,-2.6910,11.6071"
"327.00,-2.6787,11.6376"
"328.00,-2.6664,11.6749"
"329.00,-2.6557,11.6937"
"330.00,-2.6432,11.6546"
"331.00,-2.6324,11.6908"
"332.00,-2.6203,11.6463"
"333.00,-2.6095,11.6694"
"334.00,-2.5958,11.6259"
"335.00,-2.5853,11.7291"
"336.00,-2.5730,11.6717"
"337.00,-2.5603,11.7071"
"338.00,-2.5483,11.7436"
"339.00,-2.5362,11.7591"
"340.00,-2.5256,11.7821"
"341.00,-2.5129,11.7300"
"342.00,-2.5022,11.7654"
"343.00,-2.4900,11.7145"
"344.00,-2.4779,11.7423"
"345.00,-2.4673,11.7580"
"346.00,-2.4546,11.7070"
"347.00,-2.4442,11.7410"
"348.00,-2.4317,11.6856"
"349.00,-2.4209,11.7284"
"350.00,-2.4073,11.6660"
"351.00,-2.3960,11.7858"
"352.00,-2.3840,11.7422"
"353.00,-2.3717,11.7605"
"354.00,-2.3596,11.7862"
"355.00,-2.3490,11.8078"
"356.00,-2.3365,11.7541"
"357.00,-2.3259,11.7777"
"358.00,-2.3134,11.7208"
"359.00,-2.3012,11.7645"
"360.00,-2.2904,11.7817"
"361.00,-2.2783,11.7326"
"362.00,-2.2675,11.7514"
"363.00,-2.2551,11.7038"
"364.00,-2.2430,11.7404"
"365.00,-2.2322,11.7588"
"366.00,-2.2198,11.7108"
"367.00,-2.2077,11.7446"
"368.00,-2.1954,11.7677"
"369.00,-2.1834,11.7853"
"370.00,-2.1707,11.8063"
"371.00,-2.1600,11.8408"
"372.00,-2.1479,11.7863"
"373.00,-2.1371,11.8073"
"374.00,-2.1247,11.7466"
"375.00,-2.1143,11.7889"
"376.00,-2.1018,11.7176"
"377.00,-2.0914,11.7535"
"378.00,-2.0788,11.6918"
"379.00,-2.0667,11.7321"
"380.00,-2.0559,11.7485"
"381.00,-2.0432,11.7136"
"382.00,-2.0326,11.7481"
"383.00,-2.0189,11.6976"
"384.00,-2.0074,11.7921"
"385.00,-1.9945,11.7853"
"386.00,-1.9842,11.8373"
"387.00,-1.9745,11.7558"
"388.00,-1.9605,11.6658"
"389.00,-1.9502,11.7661"
"390.00,-1.9374,11.7105"
"391.00,-1.9267,11.7531"
"392.00,-1.9165,11.7009"
"393.00,-1.9054,11.6376"
"394.00,-1.8918,11.5944"
"395.00,-1.8810,11.7019"
"396.00,-1.8701,11.6590"
"397.00,-1.8577,11.6205"
"398.00,-1.8472,11.6469"
"399.00,-1.8347,11.6079"
"400.00,-1.8241,11.6394"
"401.00,-1.8118,11.5898"
"402.00,-1.8010,11.6288"
"403.00,-1.7888,11.5852"
"404.00,-1.7780,11.6211"
"405.00,-1.7665,12.1539"
"406.00,-1.7551,12.1156"
"407.00,-1.7447,12.0280"
"408.00,-1.7322,12.0538"
"409.00,-1.7217,11.9747"
"410.00,-1.7092,11.9998"
"411.00,-1.6980,11.9583"
"412.00,-1.6877,11.8777"
"413.00,-1.6756,11.8892"
"414.00,-1.6631,11.9186"
"415.00,-1.6523,11.8626"
"416.00,-1.6402,11.8750"
"417.00,-1.6278,11.9030"
"418.00,-1.6173,11.8314"
"419.00,-1.6049,11.8616"
"420.00,-1.5940,11.8106"
"421.00,-1.5816,11.8398"
"422.00,-1.5725,11.7060"
"423.00,-1.5600,11.7425"
"424.00,-1.5496,11.6769"
"425.00,-1.5374,11.7005"
