"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.2134,-0.0093"
"2.00,-0.2135,-0.0056"
"3.00,-0.2132,-0.0108"
"4.00,-0.2132,0.0061"
"5.00,-0.2133,0.0026"
"6.00,-0.2131,0.0034"
"7.00,-0.2042,0.0023"
"8.00,-0.1843,0.4613"
"9.00,-0.1641,1.4222"
"10.00,-0.1413,2.3624"
"11.00,-0.1167,3.3874"
"12.00,-0.0936,4.4484"
"13.00,-0.0692,5.3737"
"14.00,-0.0464,6.3291"
"15.00,-0.0231,7.1557"
"16.00,-0.0030,7.9627"
"17.00,0.0213,8.5620"
"18.00,0.0427,9.3587"
"19.00,0.0643,9.9544"
"20.00,0.0842,10.5366"
"21.00,0.1042,11.0079"
"22.00,0.1241,11.4556"
"23.00,0.1443,11.8839"
"24.00,0.1640,12.2874"
"25.00,0.1826,12.6716"
"26.00,0.2036,12.9539"
"27.00,0.2223,13.3672"
"28.00,0.2408,13.6345"
"29.00,0.2605,13.8687"
"30.00,0.2776,14.1708"
"31.00,0.2959,14.3131"
"32.00,0.3144,14.5167"
"33.00,0.3325,14.7069"
"34.00,0.3496,14.8852"
"35.00,0.3679,14.9918"
"36.00,0.3864,15.1614"
"37.00,0.4050,15.3195"
"38.00,0.4220,15.4918"
"39.00,0.4403,15.5598"
"40.00,0.4570,15.6953"
"41.00,0.4754,15.7533"
"42.00,0.4923,15.8819"
"43.00,0.5108,15.9332"
"44.00,0.5292,16.0638"
"45.00,0.5474,16.1796"
"46.00,0.5659,16.2761"
"47.00,0.5863,16.3949"
"48.00,0.6047,16.5896"
"49.00,0.6212,16.6766"
"50.00,0.6397,16.6744"
"51.00,0.6594,16.7599"
"52.00,0.6782,16.9143"
"53.00,0.6983,17.0067"
"54.00,0.7161,17.1522"
"55.00,0.7366,17.2023"
"56.00,0.7575,17.3515"
"57.00,0.7761,17.5392"
"58.00,0.7978,17.5920"
"59.00,0.8176,18.7854"
"60.00,0.8379,18.8572"
"61.00,0.8590,18.9704"
"62.00,0.8794,19.0414"
"63.00,0.9006,19.1504"
"64.00,0.9205,19.1886"
"65.00,0.9422,19.3139"
"66.00,0.9634,19.4070"
"67.00,0.9847,19.5002"
"68.00,1.0067,19.6286"
"69.00,1.0279,19.7037"
"70.00,1.0479,19.7190"
