"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.0026,0.0094"
"2.00,-0.0026,0.0035"
"3.00,-0.0026,0.0033"
"4.00,-0.0026,0.0032"
"5.00,0.0003,0.0030"
"6.00,0.0098,0.1501"
"7.00,0.0206,0.6171"
"8.00,0.0327,1.1262"
"9.00,0.0448,1.6754"
"10.00,0.0589,2.1970"
"11.00,0.0697,2.7908"
"12.00,0.0789,3.1912"
"13.00,0.0910,3.4898"
"14.00,0.1018,3.9207"
"15.00,0.1126,4.2646"
"16.00,0.1234,4.5914"
"17.00,0.1355,4.9018"
"18.00,0.1463,5.2621"
"19.00,0.1571,5.5390"
"20.00,0.1679,5.8020"
"21.00,0.1770,6.0519"
"22.00,0.1875,6.2074"
"23.00,0.1986,6.4207"
"24.00,0.2078,6.6559"
"25.00,0.2170,6.7813"
"26.00,0.2274,6.9004"
"27.00,0.2366,7.0790"
"28.00,0.2490,7.1832"
"29.00,0.2569,7.4458"
"30.00,0.2674,7.4662"
"31.00,0.2782,7.6165"
"32.00,0.2890,7.7757"
"33.00,0.2998,7.9269"
"34.00,0.3106,8.0705"
"35.00,0.3210,8.2069"
"36.00,0.3302,8.3202"
"37.00,0.3426,8.3623"
"38.00,0.3551,8.5660"
"39.00,0.3672,8.7595"
"40.00,0.3763,8.9269"
"41.00,0.3888,8.9387"
"42.00,0.3996,9.1136"
"43.00,0.4100,9.1979"
"44.00,0.4208,9.2616"
"45.00,0.4316,9.3385"
"46.00,0.4424,9.4115"
"47.00,0.4532,9.4809"
"48.00,0.4654,9.5468"
"49.00,0.4748,9.6749"
"50.00,0.4870,9.6657"
"51.00,0.4978,9.7878"
"52.00,0.5082,9.8384"
"53.00,0.5194,9.8701"
"54.00,0.5315,9.9329"
"55.00,0.5406,10.0417"
"56.00,0.5498,9.9977"
"57.00,0.5619,9.9560"
"58.00,0.5714,10.0636"
"59.00,0.5835,10.0350"
"60.00,0.5927,10.1386"
"61.00,0.6035,10.0899"
"62.00,0.6143,10.1253"
"63.00,0.6251,10.1590"
"64.00,0.6342,10.1911"
"65.00,0.6463,10.1397"
"66.00,0.6571,10.2381"
"67.00,0.6679,10.2662"
"68.00,0.6787,10.2928"
"69.00,0.6892,10.3182"
"70.00,0.7000,10.3259"
"71.00,0.7108,10.3495"
"72.00,0.7232,10.3720"
"73.00,0.7337,10.4752"
"74.00,0.7461,10.4750"
"75.00,0.7553,10.5731"
"76.00,0.7661,10.5026"
"77.00,0.7769,10.5174"
"78.00,0.7874,10.5315"
"79.00,0.7982,10.5285"
"80.00,0.8090,10.5421"
"81.00,0.8198,10.5550"
"82.00,0.8306,10.5672"
"83.00,0.8410,10.5788"
"84.00,0.8522,10.5735"
"85.00,0.8626,10.6011"
"86.00,0.8718,10.5947"
"87.00,0.8826,10.5231"
"88.00,0.8934,10.5369"
"89.00,0.9026,10.5500"
"90.00,0.9134,10.4807"
"91.00,0.9225,10.4966"
"92.00,0.9333,10.4300"
"93.00,0.9425,10.4484"
"94.00,0.9517,10.3841"
"95.00,0.9608,10.3231"
"96.00,0.9716,10.2651"
"97.00,0.9791,10.2918"
"98.00,0.9903,10.1536"
"99.00,0.9994,10.2022"
"100.00,1.0086,10.1503"
"101.00,1.0178,10.1009"
"102.00,1.0269,10.0540"
"103.00,1.0377,10.0095"
"104.00,1.0469,10.0490"
"105.00,1.0577,10.0047"
"106.00,1.0668,10.0444"
"107.00,1.0773,10.0003"
"108.00,1.0868,10.0239"
"109.00,1.0976,9.9972"
"110.00,1.1068,10.0373"
"111.00,1.1172,9.9936"
"112.00,1.1284,10.0176"
"113.00,1.1388,10.0730"
"114.00,1.1480,10.0930"
"115.00,1.1572,10.0465"
"116.00,1.1680,10.0023"
"117.00,1.1788,10.0422"
"118.00,1.1896,10.0800"
"119.00,1.2004,10.1160"
"120.00,1.2108,10.1501"
"121.00,1.2220,10.1662"
"122.00,1.2311,10.2143"
"123.00,1.2416,10.1617"
"124.00,1.2524,10.1772"
"125.00,1.2632,10.2084"
"126.00,1.2724,10.2379"
"127.00,1.2848,10.1842"
"128.00,1.2940,10.2967"
"129.00,1.3044,10.2400"
"130.00,1.3156,10.2516"
"131.00,1.3260,10.2954"
"132.00,1.3352,10.3042"
"133.00,1.3444,10.2472"
"134.00,1.3552,10.1930"
"135.00,1.3646,10.2233"
"136.00,1.3751,10.1867"
"137.00,1.3859,10.2009"
"138.00,1.3967,10.2308"
"139.00,1.4075,10.2593"
"140.00,1.4183,10.2863"
"141.00,1.4275,10.3119"
"142.00,1.4380,10.2545"
"143.00,1.4488,10.2654"
"144.00,1.4596,10.2921"
"145.00,1.4704,10.3175"
"146.00,1.4795,10.3416"
"147.00,1.4916,10.2826"
"148.00,1.5027,10.3739"
"149.00,1.5132,10.4116"
"150.00,1.5224,10.4146"
"151.00,1.5348,10.3520"
"152.00,1.5453,10.4562"
"153.00,1.5564,10.4570"
"154.00,1.5656,10.4904"
"155.00,1.5777,10.4241"
"156.00,1.5885,10.5083"
"157.00,1.5993,10.5229"
"158.00,1.6101,10.5367"
"159.00,1.6206,10.5498"
"160.00,1.6314,10.5459"
"161.00,1.6405,10.5586"
"162.00,1.6513,10.4888"
"163.00,1.6621,10.5044"
"164.00,1.6729,10.5191"
"165.00,1.6821,10.5331"
"166.00,1.6912,10.4646"
"167.00,1.7050,10.3995"
"168.00,1.7142,10.5668"
"169.00,1.7233,10.4966"
"170.00,1.7341,10.4299"
"171.00,1.7436,10.4484"
"172.00,1.7541,10.4005"
"173.00,1.7665,10.4041"
