"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.0661,0.0039"
"2.00,-0.0661,-0.0102"
"3.00,-0.0661,-0.0121"
"4.00,-0.0661,-0.0115"
"5.00,-0.0661,-0.0110"
"6.00,-0.0599,-0.0104"
"7.00,-0.0491,0.3010"
"8.00,-0.0367,0.8259"
"9.00,-0.0245,1.4064"
"10.00,-0.0108,1.9415"
"11.00,0.0013,2.5317"
"12.00,0.0154,3.0105"
"13.00,0.0262,3.5636"
"14.00,0.0383,3.9253"
"15.00,0.0507,4.3345"
"16.00,0.0628,4.7396"
"17.00,0.0736,5.1080"
"18.00,0.0857,5.3926"
"19.00,0.0969,5.7284"
"20.00,0.1090,5.9983"
"21.00,0.1194,6.3038"
"22.00,0.1286,6.5122"
"23.00,0.1394,6.6447"
"24.00,0.1502,6.8525"
"25.00,0.1610,7.0498"
"26.00,0.1702,7.2373"
"27.00,0.1810,7.3336"
"28.00,0.1901,7.5069"
"29.00,0.2009,7.5897"
"30.00,0.2101,7.7502"
"31.00,0.2222,7.8208"
"32.00,0.2316,8.0352"
"33.00,0.2412,8.1037"
"34.00,0.2517,8.1787"
"35.00,0.2608,8.2920"
"36.00,0.2716,8.3355"
"37.00,0.2808,8.4587"
"38.00,0.2917,8.4939"
"39.00,0.3025,8.6146"
"40.00,0.3131,8.7224"
"41.00,0.3222,8.8183"
"42.00,0.3333,8.8341"
"43.00,0.3424,8.9433"
"44.00,0.3541,8.9542"
"45.00,0.3652,9.0901"
"46.00,0.3744,9.1920"
"47.00,0.3852,9.1905"
"48.00,0.3963,9.2710"
"49.00,0.4083,9.3622"
"50.00,0.4175,9.4971"
"51.00,0.4283,9.4789"
"52.00,0.4393,9.5449"
"53.00,0.4480,9.6170"
"54.00,0.4588,9.5756"
"55.00,0.4696,9.6352"
"56.00,0.4804,9.6934"
"57.00,0.4880,9.7487"
"58.00,0.5002,9.6431"
"59.00,0.5095,9.7702"
"60.00,0.5188,9.7447"
"61.00,0.5293,9.7233"
"62.00,0.5385,9.7607"
"63.00,0.5494,9.7347"
"64.00,0.5585,9.7895"
"65.00,0.5693,9.7598"
"66.00,0.5800,9.8085"
"67.00,0.5908,9.8543"
"68.00,0.5984,9.9015"
"69.00,0.6090,9.7882"
"70.00,0.6201,9.8279"
"71.00,0.6308,9.8928"
"72.00,0.6383,9.9289"
"73.00,0.6490,9.8071"
"74.00,0.6585,9.8550"
"75.00,0.6677,9.8368"
"76.00,0.6783,9.8066"
"77.00,0.6888,9.8453"
"78.00,0.6977,10.3167"
"79.00,0.7091,10.3919"
"80.00,0.7197,10.3811"
"81.00,0.7288,10.3221"
"82.00,0.7397,10.3460"
"83.00,0.7486,10.2851"
"84.00,0.7597,10.3089"
"85.00,0.7690,10.2790"
"86.00,0.7782,10.2158"
"87.00,0.7873,10.1632"
"88.00,0.7977,10.1696"
"89.00,0.8056,10.0574"
"90.00,0.8148,10.0127"
"91.00,0.8240,9.9793"
"92.00,0.8318,9.8604"
"93.00,0.8410,9.8382"
"94.00,0.8501,9.8008"
"95.00,0.8609,9.8417"
"96.00,0.8684,9.7295"
"97.00,0.8776,9.7012"
"98.00,0.8868,9.6743"
"99.00,0.8946,9.5923"
"100.00,0.9038,9.5583"
"101.00,0.9130,9.5421"
"102.00,0.9208,9.4667"
"103.00,0.9300,9.4390"
"104.00,0.9376,9.3559"
"105.00,0.9470,9.3591"
"106.00,0.9546,9.2585"
"107.00,0.9621,9.1844"
"108.00,0.9699,9.1144"
"109.00,0.9775,9.0261"
"110.00,0.9850,8.9635"
"111.00,0.9928,8.9046"
"112.00,1.0019,8.9085"
"113.00,1.0082,8.7775"
"114.00,1.0157,8.7150"
"115.00,1.0249,8.7374"
"116.00,1.0327,8.6932"
"117.00,1.0406,8.6512"
"118.00,1.0481,8.6040"
"119.00,1.0556,8.5377"
"120.00,1.0648,8.5724"
"121.00,1.0727,8.5365"
"122.00,1.0806,8.5113"
"123.00,1.0898,8.5404"
"124.00,1.0956,8.4080"
"125.00,1.1035,8.3714"
"126.00,1.1100,8.2924"
"127.00,1.1159,8.1600"
"128.00,1.1234,8.1406"
"129.00,1.1302,8.0649"
"130.00,1.1417,8.2378"
"131.00,1.1492,8.2022"
"132.00,1.1584,8.2503"
"133.00,1.1659,8.2141"
"134.00,1.1738,8.1961"
"135.00,1.1816,8.1790"
"136.00,1.1891,8.1464"
"137.00,1.1983,8.1972"
"138.00,1.2045,8.0983"
"139.00,1.2137,8.1515"
"140.00,1.2215,8.1366"
"141.00,1.2307,8.1880"
"142.00,1.2399,8.2367"
"143.00,1.2474,8.2012"
"144.00,1.2549,8.1675"
"145.00,1.2641,8.2173"
"146.00,1.2719,8.1991"
"147.00,1.2827,8.3291"
"148.00,1.2903,8.2890"
"149.00,1.2981,8.2673"
"150.00,1.3056,8.2303"
"151.00,1.3151,8.2933"
"152.00,1.3227,8.2549"
"153.00,1.3318,8.3003"
"154.00,1.3393,8.2617"
"155.00,1.3485,8.3067"
"156.00,1.3564,8.2841"
"157.00,1.3639,8.2462"
"158.00,1.3730,8.2921"
"159.00,1.3809,8.2702"
"160.00,1.3901,8.3148"
"161.00,1.3992,8.3573"
"162.00,1.4084,8.3975"
"163.00,1.4162,8.3704"
"164.00,1.4254,8.4100"
"165.00,1.4346,8.4477"
"166.00,1.4421,8.4016"
"167.00,1.4496,8.3579"
"168.00,1.4591,8.4145"
"169.00,1.4683,8.4519"
"170.00,1.4774,8.4875"
"171.00,1.4866,8.5213"
"172.00,1.4941,8.4715"
"173.00,1.5014,8.4134"
"174.00,1.5113,8.4836"
"175.00,1.5188,8.4358"
"176.00,1.5263,8.3903"
"177.00,1.5358,8.4453"
"178.00,1.5432,8.3939"
"179.00,1.5526,8.4433"
"180.00,1.5605,8.4138"
"181.00,1.5696,8.4513"
"182.00,1.5788,8.4869"
"183.00,1.5958,8.5207"
"184.00,1.6033,8.4874"
"185.00,1.6112,8.4393"
"186.00,1.6202,8.4131"
"187.00,1.6293,8.4421"
"188.00,1.6370,8.4751"
"189.00,1.6448,8.4338"
"190.00,1.6539,8.4018"
"191.00,1.6618,8.4399"
"192.00,1.6710,8.4106"
"193.00,1.6797,8.4482"
"194.00,1.6876,8.4646"
"195.00,1.6972,8.4371"
"196.00,1.7047,8.4927"
"197.00,1.7122,8.4414"
"198.00,1.7200,8.3957"
"199.00,1.7292,8.3686"
"200.00,1.7384,8.4083"
"201.00,1.7475,8.4461"
"202.00,1.7554,8.4819"
"203.00,1.7646,8.4505"
"204.00,1.7737,8.4862"
"205.00,1.7816,8.5200"
"206.00,1.7907,8.4867"
"207.00,1.7983,8.5205"
"208.00,1.8074,8.4708"
"209.00,1.8165,8.5055"
"210.00,1.8241,8.5354"
"211.00,1.8320,8.4879"
"212.00,1.8411,8.4562"
"213.00,1.8503,8.4916"
"214.00,1.8578,8.5252"
