"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,0.0002,0.0364"
"2.00,-0.0010,0.0262"
"3.00,-0.0006,0.0060"
"4.00,-0.0008,-0.0088"
"5.00,0.0001,0.0068"
"6.00,-0.0013,0.0246"
"7.00,-0.0006,-0.0118"
"8.00,-0.0011,-0.0094"
"9.00,-0.0009,-0.0198"
"10.00,-0.0011,-0.0031"
"11.00,-0.0006,-0.0096"
"12.00,-0.0011,-0.0073"
"13.00,-0.0009,-0.0178"
"14.00,-0.0011,-0.0012"
"15.00,-0.0006,-0.0078"
"16.00,-0.0011,-0.0056"
"17.00,0.0009,-0.0162"
"18.00,0.0013,0.0925"
"19.00,0.0012,0.0939"
"20.00,0.0008,0.0892"
"21.00,0.0006,0.0581"
"22.00,0.0007,0.0546"
"23.00,0.0027,0.0519"
"24.00,0.0026,0.1626"
"25.00,0.0025,0.1187"
"26.00,0.0047,0.1437"
"27.00,0.0044,0.2195"
"28.00,0.0045,0.2079"
"29.00,0.0045,0.1975"
"30.00,0.0061,0.1877"
"31.00,0.0066,0.2698"
"32.00,0.0064,0.2630"
"33.00,0.0064,0.2498"
"34.00,0.0064,0.2373"
"35.00,0.0064,0.2255"
"36.00,0.0064,0.2142"
"37.00,0.0064,0.2035"
"38.00,0.0064,0.1933"
"39.00,0.0076,0.1836"
"40.00,0.0076,0.2296"
"41.00,0.0077,0.2284"
"42.00,0.0077,0.2170"
"43.00,0.0077,0.2110"
"44.00,0.0076,0.1902"
"45.00,0.0076,0.1758"
"46.00,0.0077,0.1822"
"47.00,0.0093,0.1628"
"48.00,0.0088,0.2268"
"49.00,0.0089,0.2087"
"50.00,0.0095,0.2080"
"51.00,0.0088,0.1946"
"52.00,0.0095,0.1878"
"53.00,0.0088,0.1755"
"54.00,0.0095,0.1697"
"55.00,0.0097,0.1582"
"56.00,0.0109,0.2024"
"57.00,0.0105,0.2111"
"58.00,0.0109,0.2150"
"59.00,0.0108,0.2049"
"60.00,0.0100,0.1946"
"61.00,0.0108,0.1516"
"62.00,0.0105,0.1622"
"63.00,0.0123,0.1686"
"64.00,0.0120,0.2269"
"65.00,0.0121,0.2149"
"66.00,0.0121,0.2042"
"67.00,0.0126,0.2036"
"68.00,0.0124,0.2001"
"69.00,0.0124,0.1901"
"70.00,0.0119,0.1710"
"71.00,0.0121,0.1557"
"72.00,0.0126,0.1576"
"73.00,0.0124,0.1564"
"74.00,0.0124,0.1486"
"75.00,0.0119,0.1315"
"76.00,0.0121,0.1182"
"77.00,0.0126,0.1220"
"78.00,0.0124,0.1226"
"79.00,0.0124,0.1164"
"80.00,0.0132,0.1010"
"81.00,0.0134,0.1546"
"82.00,0.0134,0.1469"
"83.00,0.0134,0.1396"
"84.00,0.0134,0.1326"
"85.00,0.0134,0.1260"
"86.00,0.0134,0.1197"
"87.00,0.0134,0.1137"
"88.00,0.0134,0.1080"
"89.00,0.0134,0.1026"
"90.00,0.0134,0.0975"
"91.00,0.0140,0.1071"
"92.00,0.0137,0.1036"
"93.00,0.0137,0.0984"
"94.00,0.0137,0.0935"
"95.00,0.0137,0.0888"
"96.00,0.0137,0.0844"
"97.00,0.0137,0.0802"
"98.00,0.0137,0.0762"
"99.00,0.0137,0.0724"
"100.00,0.0137,0.0687"
"101.00,0.0137,0.0653"
"102.00,0.0137,0.0620"
"103.00,0.0137,0.0589"
"104.00,0.0137,0.0560"
"105.00,0.0137,0.0532"
"106.00,0.0137,0.0505"
"107.00,0.0137,0.0480"
"108.00,0.0137,0.0456"
"109.00,0.0137,0.0433"
"110.00,0.0137,0.0412"
"111.00,0.0137,0.0391"
"112.00,0.0137,0.0371"
"113.00,0.0137,0.0353"
"114.00,0.0137,0.0335"
"115.00,0.0137,0.0318"
"116.00,0.0137,0.0303"
"117.00,0.0137,0.0287"
"118.00,0.0137,0.0273"
"119.00,0.0137,0.0259"
"120.00,0.0137,0.0246"
"121.00,0.0137,0.0234"
