"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.0000,-0.0285"
"2.00,-0.0003,0.0083"
"3.00,-0.0003,-0.0047"
"4.00,-0.0003,-0.0073"
"5.00,0.0105,-0.0060"
"6.00,0.0272,0.5343"
"7.00,0.0488,1.3421"
"8.00,0.0749,2.3549"
"9.00,0.1011,3.5462"
"10.00,0.1286,4.6779"
"11.00,0.1532,5.8185"
"12.00,0.1810,6.7547"
"13.00,0.2068,7.8078"
"14.00,0.2330,8.7101"
"15.00,0.2605,9.5836"
"16.00,0.2867,10.4789"
"17.00,0.3125,11.2640"
"18.00,0.3403,11.9934"
"19.00,0.3665,12.7846"
"20.00,0.3924,13.4544"
"21.00,0.4172,14.0743"
"22.00,0.4431,14.6141"
"23.00,0.4709,15.1761"
"24.00,0.4951,15.8081"
"25.00,0.5213,16.2285"
"26.00,0.5491,16.7261"
"27.00,0.5737,17.2806"
"28.00,0.5982,17.6438"
"29.00,0.6257,17.9888"
"30.00,0.6489,18.4638"
"31.00,0.6748,18.7024"
"32.00,0.6993,19.0599"
"33.00,0.7255,19.3342"
"34.00,0.7517,19.6765"
"35.00,0.7776,20.0017"
"36.00,0.8021,20.2942"
"37.00,0.8266,20.5067"
"38.00,0.8528,20.7086"
"39.00,0.8774,20.9822"
"40.00,0.9035,21.1603"
"41.00,0.9265,21.4113"
"42.00,0.9526,21.4861"
"43.00,0.9772,21.7208"
"44.00,1.0030,21.8620"
"45.00,1.0279,22.0615"
"46.00,1.0521,22.2020"
"47.00,1.0783,22.3027"
"48.00,1.1028,22.4966"
"49.00,1.1290,22.5990"
"50.00,1.1536,22.7781"
"51.00,1.1765,22.8664"
"52.00,1.2010,22.8684"
"53.00,1.2256,22.9522"
"54.00,1.2517,23.0318"
"55.00,1.2763,23.1892"
"56.00,1.2995,23.2569"
"57.00,1.3270,23.2559"
"58.00,1.3516,23.4675"
"59.00,1.3758,23.5214"
"60.00,1.4006,23.5561"
"61.00,1.4249,23.6219"
"62.00,1.4497,23.6516"
"63.00,1.4740,23.7126"
"64.00,1.4988,23.7378"
"65.00,1.5247,23.7945"
"66.00,1.5492,23.8974"
"67.00,1.5754,23.9298"
"68.00,1.5999,24.0423"
"69.00,1.6245,24.0674"
"70.00,1.6507,24.0912"
"71.00,1.6752,24.1957"
"72.00,1.6998,24.2131"
"73.00,1.7259,24.2296"
"74.00,1.7502,24.3271"
"75.00,1.7780,24.3216"
"76.00,1.8025,24.4964"
"77.00,1.8271,24.4988"
"78.00,1.8529,24.5010"
"79.00,1.8807,24.5686"
"80.00,1.9069,24.7310"
"81.00,1.9315,24.8035"
"82.00,1.9589,24.7905"
"83.00,1.9835,24.9254"
"84.00,2.0113,24.9064"
"85.00,2.0355,25.0519"
"86.00,2.0617,25.0101"
"87.00,2.0879,25.0686"
"88.00,2.1154,25.1242"
"89.00,2.1432,25.2425"
"90.00,2.1677,25.3712"
"91.00,2.1939,25.3298"
"92.00,2.2214,25.3724"
"93.00,2.2476,25.4782"
"94.00,2.2718,25.5133"
"95.00,2.2996,25.4485"
"96.00,2.3287,25.5669"
"97.00,2.3549,25.7448"
"98.00,2.3811,25.7666"
"99.00,2.4070,25.7873"
"100.00,2.4348,25.7906"
"101.00,2.4606,25.8919"
"102.00,2.4868,25.8899"
"103.00,2.5143,25.9045"
"104.00,2.5421,25.9837"
"105.00,2.5696,26.0753"
"106.00,2.5958,26.1460"
"107.00,2.6233,26.1478"
"108.00,2.6508,26.2148"
"109.00,2.6786,26.2785"
"110.00,2.7048,26.3555"
"111.00,2.7339,26.3467"
"112.00,2.7601,26.4856"
"113.00,2.7875,26.4704"
"114.00,2.8137,26.5213"
