"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,0.0013,-0.0088"
"2.00,0.0013,-0.0107"
"3.00,0.0014,-0.0032"
"4.00,0.0013,-0.0077"
"5.00,0.0042,0.1353"
"6.00,0.0213,0.9864"
"7.00,0.0429,2.0147"
"8.00,0.0671,3.1248"
"9.00,0.0920,4.2121"
"10.00,0.1194,5.3760"
"11.00,0.1456,6.4162"
"12.00,0.1718,7.4044"
"13.00,0.1977,8.3268"
"14.00,0.2238,9.2195"
"15.00,0.2497,10.0512"
"16.00,0.2759,10.8576"
"17.00,0.3021,11.6238"
"18.00,0.3282,12.3516"
"19.00,0.3541,13.0267"
"20.00,0.3819,13.7662"
"21.00,0.4081,14.3869"
"22.00,0.4323,14.8784"
"23.00,0.4585,15.4435"
"24.00,0.4847,15.9803"
"25.00,0.5108,16.4903"
"26.00,0.5367,16.9584"
"27.00,0.5612,17.3377"
"28.00,0.5874,17.7799"
"29.00,0.6136,18.1999"
"30.00,0.6378,18.5007"
"31.00,0.6640,18.8847"
"32.00,0.6889,19.1840"
"33.00,0.7147,19.5175"
"34.00,0.7393,19.7688"
"35.00,0.7654,20.0894"
"36.00,0.7900,20.3121"
"37.00,0.8158,20.5892"
"38.00,0.8420,20.8687"
"39.00,0.8649,20.9707"
"40.00,0.8911,21.2312"
"41.00,0.9157,21.3968"
"42.00,0.9402,21.5542"
"43.00,0.9647,21.7037"
"44.00,0.9893,21.8457"
"45.00,1.0155,22.0624"
"46.00,1.0384,22.1047"
"47.00,1.0632,22.2430"
"48.00,1.0875,22.3417"
"49.00,1.1123,22.4682"
"50.00,1.1366,22.5556"
"51.00,1.1598,22.5896"
"52.00,1.1843,22.6873"
"53.00,1.2118,22.9274"
"54.00,1.2347,22.9264"
"55.00,1.2596,23.0237"
"56.00,1.2825,23.0179"
"57.00,1.3071,23.0942"
"58.00,1.3316,23.1667"
"59.00,1.3545,23.1537"
"60.00,1.3790,23.2232"
"61.00,1.4052,23.3711"
"62.00,1.4298,23.4297"
"63.00,1.4543,23.4855"
"64.00,1.4772,23.4566"
"65.00,1.5018,23.5110"
"66.00,1.5263,23.5626"
"67.00,1.5509,23.6117"
"68.00,1.5754,23.6583"
"69.00,1.6016,23.7844"
"70.00,1.6261,23.8224"
"71.00,1.6507,23.8585"
"72.00,1.6752,23.8927"
"73.00,1.6998,23.9253"
"74.00,1.7259,24.0381"
"75.00,1.7505,24.0634"
"76.00,1.7767,24.1692"
"77.00,1.8009,24.1716"
"78.00,1.8257,24.2066"
"79.00,1.8516,24.2889"
"80.00,1.8761,24.3016"
"81.00,1.9007,24.3138"
"82.00,1.9269,24.4071"
"83.00,1.9531,24.4958"
"84.00,1.9789,24.5636"
"85.00,2.0038,24.5790"
"86.00,2.0296,24.6427"
"87.00,2.0542,24.6377"
"88.00,2.0817,24.7803"
"89.00,2.1065,24.7849"
"90.00,2.1324,24.8383"
"91.00,2.1586,24.9054"
"92.00,2.1864,25.0510"
"93.00,2.2122,25.0911"
"94.00,2.2384,25.1455"
"95.00,2.2643,25.1809"
"96.00,2.2904,25.2309"
"97.00,2.3166,25.2783"
"98.00,2.3428,25.3234"
"99.00,2.3687,25.3499"
"100.00,2.3978,25.5387"
"101.00,2.4240,25.5708"
"102.00,2.4501,25.6013"
"103.00,2.4763,25.6302"
"104.00,2.5038,25.7232"
"105.00,2.5300,25.7460"
"106.00,2.5559,25.7514"
"107.00,2.5837,24.4638"
"108.00,2.6103,24.6423"
"109.00,2.6375,24.7106"
"110.00,2.6641,24.8744"
"111.00,2.6895,24.9203"
"112.00,2.7157,24.9863"
"113.00,2.7416,25.0049"
"114.00,2.7713,25.0883"
