"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,0.0001,0.0067"
"2.00,-0.0004,0.0045"
"3.00,-0.0002,-0.0047"
"4.00,-0.0002,-0.0045"
"5.00,0.0089,-0.0043"
"6.00,0.0245,0.4578"
"7.00,0.0409,1.2021"
"8.00,0.0644,1.9783"
"9.00,0.0855,3.0393"
"10.00,0.1088,3.9491"
"11.00,0.1318,4.9170"
"12.00,0.1563,5.8184"
"13.00,0.1807,6.7511"
"14.00,0.2042,7.6424"
"15.00,0.2283,8.4239"
"16.00,0.2514,9.2101"
"17.00,0.2760,9.9094"
"18.00,0.3005,10.6411"
"19.00,0.3238,11.3363"
"20.00,0.3496,11.9312"
"21.00,0.3729,12.6273"
"22.00,0.3971,13.1577"
"23.00,0.4219,13.7106"
"24.00,0.4478,14.2687"
"25.00,0.4709,14.8479"
"26.00,0.4969,15.2651"
"27.00,0.5231,15.7933"
"28.00,0.5489,16.3215"
"29.00,0.5739,16.7926"
"30.00,0.5986,17.2085"
"31.00,0.6241,17.5622"
"32.00,0.6486,17.9778"
"33.00,0.6737,18.3039"
"34.00,0.6994,18.6313"
"35.00,0.7255,18.9956"
"36.00,0.7516,19.3494"
"37.00,0.7779,19.6886"
"38.00,0.8023,20.0155"
"39.00,0.8297,20.2334"
"40.00,0.8544,20.5993"
"41.00,0.8804,22.0977"
"42.00,0.9064,22.2957"
"43.00,0.9344,22.5778"
"44.00,0.9622,22.8397"
"45.00,0.9866,22.9190"
"46.00,1.0121,23.0493"
"47.00,1.0388,23.2281"
"48.00,1.0646,23.3593"
"49.00,1.0923,23.5764"
"50.00,1.1198,23.7721"
"51.00,1.1462,23.9011"
"52.00,1.1751,24.1537"
"53.00,1.1998,24.1789"
"54.00,1.2271,24.3388"
"55.00,1.2530,24.4145"
"56.00,1.2813,24.6093"
"57.00,1.3054,24.5814"
"58.00,1.3349,24.8305"
"59.00,1.3590,24.7943"
"60.00,1.3898,25.0954"
"61.00,1.4173,25.2151"
"62.00,1.4448,25.3288"
"63.00,1.4714,25.3904"
"64.00,1.4971,25.4083"
"65.00,1.5251,25.5339"
"66.00,1.5541,25.7083"
"67.00,1.5800,25.7181"
"68.00,1.6078,25.8231"
"69.00,1.6357,25.9253"
"70.00,1.6627,25.9821"
"71.00,1.6890,25.9945"
"72.00,1.7164,26.0692"
"73.00,1.7443,26.1590"
"74.00,1.7733,26.3025"
"75.00,1.7996,26.2988"
"76.00,1.8257,26.2929"
"77.00,1.8532,26.3527"
"78.00,1.8794,26.3441"
"79.00,1.9099,26.5486"
"80.00,1.9344,26.4484"
"81.00,1.9622,26.5168"
"82.00,1.9897,26.5654"
"83.00,2.0159,26.5484"
"84.00,2.0433,26.5910"
"85.00,2.0696,26.5749"
"86.00,2.0986,26.6980"
"87.00,2.1249,26.6743"
"88.00,2.1510,26.6496"
"89.00,2.1753,26.5280"
"90.00,2.2031,26.5924"
"91.00,2.2289,26.5555"
"92.00,2.2538,26.4712"
"93.00,2.2813,26.5222"
"94.00,2.3075,26.5051"
"95.00,2.3333,26.4724"
"96.00,2.3595,26.4599"
"97.00,2.3840,26.3600"
"98.00,2.4103,26.3551"
"99.00,2.4364,26.3423"
"100.00,2.4610,26.2563"
"101.00,2.4884,26.3141"
"102.00,2.5147,26.3113"
"103.00,2.5375,26.1373"
"104.00,2.5634,26.1250"
"105.00,2.5899,26.1460"
"106.00,2.6141,26.0458"
"107.00,2.6386,25.9726"
"108.00,2.6648,25.9829"
"109.00,2.6907,25.9765"
"110.00,2.7156,25.9212"
"111.00,2.7398,25.8360"
"112.00,2.7646,25.7877"
"113.00,2.7905,25.7910"
"114.00,2.8150,25.7287"
"115.00,2.8379,25.5876"
"116.00,2.8632,25.5732"
"117.00,2.8902,25.6443"
"118.00,2.9132,25.5091"
"119.00,2.9378,25.4625"
"120.00,2.9627,25.4378"
"121.00,2.9872,25.3883"
"122.00,3.0117,25.3429"
"123.00,3.0363,25.3077"
"124.00,3.0579,25.1222"
"125.00,3.0857,25.2554"
"126.00,3.1082,25.1186"
"127.00,3.1345,25.1762"
"128.00,-3.1255,25.0792"
"129.00,-3.1010,25.0509"
"130.00,-3.0768,25.0078"
"131.00,-3.0519,25.0024"
"132.00,-3.0290,24.8977"
"133.00,-3.0028,24.9618"
"134.00,-2.9786,24.9245"
"135.00,-2.9553,24.8401"
"136.00,-2.9308,24.8253"
"137.00,-2.9063,24.8112"
"138.00,-2.8817,24.7979"
"139.00,-2.8572,24.7852"
"140.00,-2.8326,24.7731"
"141.00,-2.8064,24.8434"
"142.00,-2.7822,24.8121"
"143.00,-2.7590,24.7333"
"144.00,-2.7344,24.7238"
"145.00,-2.7083,24.7967"
"146.00,-2.6854,24.7022"
"147.00,-2.6592,24.7761"
"148.00,-2.6346,24.7645"
"149.00,-2.6088,24.8189"
"150.00,-2.5839,24.8216"
"151.00,-2.5581,24.8731"
"152.00,-2.5335,24.8567"
"153.00,-2.5090,24.8410"
"154.00,-2.4828,24.9080"
"155.00,-2.4582,24.8898"
"156.00,-2.4291,25.1016"
"157.00,-2.4046,25.0737"
"158.00,-2.3800,25.0472"
"159.00,-2.3538,25.1039"
"160.00,-2.3280,25.1413"
"161.00,-2.3031,25.1278"
"162.00,-2.2773,25.1641"
"163.00,-2.2511,25.2149"
"164.00,-2.2236,25.3286"
"165.00,-2.1958,25.4530"
"166.00,-2.1699,25.4730"
"167.00,-2.1438,25.5084"
"168.00,-2.1176,25.5420"
"169.00,-2.0917,25.5575"
"170.00,-2.0655,25.5887"
"171.00,-2.0380,25.6837"
"172.00,-2.0102,25.7904"
"173.00,-1.9844,25.7935"
"174.00,-1.9582,25.8128"
"175.00,-1.9304,25.9130"
